Tanggal,Stock Code,Close,Volume,Offer Volume,Bid Volume,Foreign Sell,Foreign Buy,Kurs
9/3/2018,AALI,14300 ,935300 ,50000 ,800 ,135400 ,356700 ,13863 
9/3/2018,ABBA,50 ,6849300 ,227100 ,428000 ,0 ,0 ,13863 
9/3/2018,ABDA,7500 ,100 ,4000 ,0 ,0 ,0 ,13863 
9/3/2018,ABMM,2150 ,100 ,2600 ,500 ,0 ,0 ,13863 
9/3/2018,ACES,1300 ,4327800 ,11695200 ,12900 ,3586700 ,1329700 ,13863 
9/3/2018,ACST,2930 ,3782600 ,17300 ,1000 ,821100 ,699900 ,13863 
9/3/2018,ADES,925 ,6100 ,4500 ,2700 ,0 ,0 ,13863 
9/3/2018,ADHI,2420 ,7686600 ,352300 ,27100 ,632700 ,367800 ,13863 
9/3/2018,ADMF,9150 ,364500 ,11600 ,10400 ,72600 ,75500 ,13863 
9/3/2018,ADMG,298 ,2204600 ,37400 ,107300 ,0 ,0 ,13863 
9/3/2018,ADRO,2170 ,102331600 ,1239100 ,536600 ,57799800 ,20897900 ,13863 
9/3/2018,AGII,750 ,84500 ,700 ,39400 ,0 ,0 ,13863 
9/3/2018,AGRO,550 ,5439400 ,49800 ,712800 ,0 ,0 ,13863 
9/3/2018,AGRS,700 ,528800 ,9100 ,1100 ,10000 ,0 ,13863 
9/3/2018,AHAP,168 ,44400 ,6000 ,6900 ,0 ,0 ,13863 
9/3/2018,AIMS,304 ,3300 ,100 ,4300 ,0 ,0 ,13863 
9/3/2018,AISA,610 ,97048800 ,447700 ,4092600 ,2177400 ,722700 ,13863 
9/3/2018,AKKU,55 ,1384000 ,2401000 ,191000 ,0 ,0 ,13863 
9/3/2018,AKPI,780 ,0 ,1000 ,5000 ,0 ,0 ,13863 
9/3/2018,AKRA,5775 ,7341700 ,6000 ,173600 ,4213100 ,3938200 ,13863 
9/3/2018,AKSI,312 ,700 ,11400 ,100 ,0 ,0 ,13863 
9/3/2018,ALDO,680 ,0 ,1300 ,3100 ,0 ,0 ,13863 
9/3/2018,ALKA,450 ,3800 ,2000 ,300 ,0 ,0 ,13863 
9/3/2018,ALMI,220 ,5300 ,100 ,500 ,0 ,0 ,13863 
9/3/2018,ALTO,368 ,19600 ,18000 ,3000 ,0 ,0 ,13863 
9/3/2018,AMAG,354 ,1300 ,1200 ,800 ,0 ,0 ,13863 
9/3/2018,AMFG,5400 ,0 ,300 ,7600 ,0 ,0 ,13863 
9/3/2018,AMIN,376 ,100100 ,400 ,50000 ,0 ,0 ,13863 
9/3/2018,AMRT,595 ,1100 ,33600 ,600 ,1100 ,0 ,13863 
9/3/2018,ANJT,1355 ,238800 ,35200 ,200 ,0 ,0 ,13863 
9/3/2018,ANTM,850 ,39720000 ,616700 ,8889900 ,693200 ,2324600 ,13863 
9/3/2018,APEX,1780 ,85300 ,2200 ,1000 ,0 ,0 ,13863 
9/3/2018,APIC,525 ,1500 ,300200 ,214400 ,0 ,0 ,13863 
9/3/2018,APII,204 ,0 ,1900 ,6000 ,0 ,0 ,13863 
9/3/2018,APLI,99 ,475700 ,630500 ,2900 ,0 ,0 ,13863 
9/3/2018,APLN,222 ,5910900 ,518200 ,635400 ,1739900 ,15000 ,13863 
9/3/2018,APOL,58 ,0 ,0 ,0 ,0 ,0 ,13863 
9/3/2018,ARGO,825 ,0 ,0 ,0 ,0 ,0 ,13863 
9/3/2018,ARII,1350 ,69000 ,99700 ,500 ,0 ,0 ,13863 
9/3/2018,ARMY,384 ,41279600 ,435400 ,285000 ,0 ,1140000 ,13863 
9/3/2018,ARNA,336 ,162600 ,14600 ,154000 ,7300 ,0 ,13863 
9/3/2018,ARTA,280 ,34800 ,1400 ,182600 ,0 ,0 ,13863 
9/3/2018,ARTI,50 ,21100 ,130660600 ,0 ,0 ,0 ,13863 
9/3/2018,ARTO,198 ,10000 ,21900 ,100 ,0 ,0 ,13863 
9/3/2018,ASBI,302 ,179500 ,107700 ,4900 ,0 ,100000 ,13863 
9/3/2018,ASDM,1150 ,0 ,2300 ,1500 ,0 ,0 ,13863 
9/3/2018,ASGR,1475 ,2194900 ,30600 ,909800 ,1038000 ,130200 ,13863 
9/3/2018,ASII,7775 ,26855700 ,114100 ,80200 ,23457400 ,10514200 ,13863 
9/3/2018,ASJT,398 ,301100 ,635600 ,17600 ,0 ,0 ,13863 
9/3/2018,ASMI,875 ,1894800 ,33100 ,13300 ,0 ,0 ,13863 
9/3/2018,ASRI,388 ,14759300 ,756300 ,115200 ,2881100 ,4736900 ,13863 
9/3/2018,ASRM,2350 ,0 ,100 ,100 ,0 ,0 ,13863 
9/3/2018,ASSA,276 ,1566600 ,133700 ,30000 ,0 ,0 ,13863 
9/3/2018,ATIC,780 ,11100 ,9700 ,200 ,0 ,100 ,13863 
9/3/2018,ATPK,194 ,0 ,0 ,0 ,0 ,0 ,13863 
9/3/2018,AUTO,1680 ,910000 ,700 ,60200 ,350400 ,18800 ,13863 
9/3/2018,BABP,51 ,1294800 ,1871500 ,30535800 ,0 ,0 ,13863 
9/3/2018,BACA,286 ,15700 ,165500 ,500 ,0 ,0 ,13863 
9/3/2018,BAJA,165 ,278600 ,17900 ,31500 ,0 ,0 ,13863 
9/3/2018,BALI,1430 ,105600 ,500 ,4000 ,0 ,0 ,13863 
9/3/2018,BAPA,92 ,55263100 ,37600 ,164700 ,0 ,0 ,13863 
9/3/2018,BATA,615 ,0 ,10900 ,2000 ,0 ,0 ,13863 
