Tangal,Stock Code,Close,Volume,Offer Volume,Bid Volume,Foreign Sell,Foreign Buy,Kurs
15,AALI,13725 ,744300 ,74900 ,5800 ,1700 ,115200 ,13817 
15,ABBA,50 ,190000 ,101800 ,0 ,0 ,0 ,13817 
15,ABDA,7500 ,0 ,3900 ,0 ,0 ,0 ,13817 
15,ABMM,2150 ,22700 ,9700 ,1200 ,0 ,0 ,13817 
15,ACES,1350 ,10232500 ,421000 ,50300 ,5799400 ,4709200 ,13817 
15,ACST,2940 ,3686700 ,291700 ,500 ,687100 ,476800 ,13817 
15,ADES,925 ,0 ,1000 ,9300 ,0 ,0 ,13817 
15,ADHI,2160 ,6835600 ,34800 ,229800 ,104500 ,749000 ,13817 
15,ADMF,9175 ,29700 ,11900 ,400 ,0 ,0 ,13817 
15,ADMG,284 ,3311800 ,3200 ,55000 ,0 ,0 ,13817 
15,ADRO,2050 ,54737200 ,48400 ,762500 ,17095700 ,9980300 ,13817 
15,AGII,775 ,34500 ,2000 ,2000 ,0 ,0 ,13817 
15,AGRO,470 ,19242400 ,214800 ,683900 ,53100 ,30000 ,13817 
15,AGRS,660 ,506200 ,1000 ,9900 ,0 ,3600 ,13817 
15,AHAP,165 ,65000 ,1000 ,3000 ,0 ,0 ,13817 
15,AIMS,302 ,30200 ,5100 ,2600 ,0 ,0 ,13817 
15,AISA,670 ,329895500 ,912800 ,6465900 ,5428700 ,35154200 ,13817 
15,AKKU,53 ,4710400 ,35400 ,2508000 ,0 ,0 ,13817 
15,AKPI,700 ,0 ,4500 ,2000 ,0 ,0 ,13817 
15,AKRA,5800 ,4462500 ,62900 ,539300 ,1196100 ,1990700 ,13817 
15,AKSI,298 ,0 ,7800 ,100 ,0 ,0 ,13817 
15,ALDO,680 ,0 ,100 ,3100 ,0 ,0 ,13817 
15,ALKA,462 ,13500 ,1000 ,100 ,0 ,0 ,13817 
15,ALMI,226 ,5900 ,100 ,1000 ,0 ,0 ,13817 
15,ALTO,368 ,14349200 ,7400 ,100 ,31400 ,0 ,13817 
15,AMAG,358 ,100 ,2300 ,3000 ,0 ,0 ,13817 
15,AMFG,5400 ,500 ,200 ,600 ,0 ,100 ,13817 
15,AMIN,376 ,20300 ,1000 ,19800 ,0 ,0 ,13817 
15,AMRT,580 ,100 ,112400 ,5000 ,100 ,0 ,13817 
15,ANJT,1225 ,293900 ,900 ,10300 ,0 ,0 ,13817 
15,ANTM,860 ,28052000 ,1525200 ,5600 ,862100 ,2490500 ,13817 
15,APEX,1780 ,84800 ,1500 ,1000 ,0 ,0 ,13817 
15,APIC,515 ,200 ,222600 ,314900 ,0 ,0 ,13817 
15,APII,200 ,100 ,1900 ,6000 ,0 ,0 ,13817 
15,APLI,105 ,426100 ,120000 ,35000 ,0 ,0 ,13817 
15,APLN,220 ,13349200 ,189200 ,59700 ,3203500 ,55900 ,13817 
15,APOL,58 ,0 ,0 ,0 ,0 ,0 ,13817 
15,ARGO,825 ,0 ,0 ,50000 ,0 ,0 ,13817 
15,ARII,1215 ,25100 ,2000 ,500 ,0 ,1400 ,13817 
15,ARMY,370 ,3400900 ,122300 ,6112100 ,899600 ,0 ,13817 
15,ARNA,330 ,397200 ,101400 ,101200 ,14600 ,0 ,13817 
15,ARTA,284 ,4200 ,5000 ,11500 ,0 ,0 ,13817 
15,ARTI,50 ,6700 ,147830200 ,0 ,0 ,0 ,13817 
15,ARTO,204 ,200 ,30600 ,1200 ,0 ,0 ,13817 
15,ASBI,306 ,146200 ,1500 ,1000 ,0 ,46300 ,13817 
15,ASDM,1150 ,0 ,500 ,1500 ,0 ,0 ,13817 
15,ASGR,1520 ,1007500 ,700 ,60500 ,0 ,202600 ,13817 
15,ASII,7450 ,38893700 ,1500 ,168200 ,21064500 ,19658600 ,13817 
15,ASJT,350 ,25500 ,6000 ,10100 ,0 ,0 ,13817 
15,ASMI,825 ,1511700 ,32000 ,500 ,0 ,0 ,13817 
15,ASRI,378 ,15692300 ,1446300 ,382900 ,2710200 ,1619200 ,13817 
15,ASRM,2500 ,0 ,2300 ,200 ,0 ,0 ,13817 
15,ASSA,274 ,1774700 ,82400 ,103200 ,448900 ,0 ,13817 
15,ATIC,755 ,11600 ,800 ,2300 ,0 ,0 ,13817 
15,ATPK,194 ,0 ,0 ,0 ,0 ,0 ,13817 
15,AUTO,1650 ,1521100 ,37100 ,127100 ,166300 ,121300 ,13817 
15,BABP,50 ,4326800 ,6589000 ,1674900 ,0 ,0 ,13817 
15,BACA,282 ,72100 ,159400 ,122700 ,0 ,0 ,13817 
15,BAJA,161 ,378800 ,41100 ,4800 ,0 ,0 ,13817 
15,BALI,1435 ,363900 ,3000 ,93700 ,0 ,0 ,13817 
15,BAPA,93 ,97216100 ,1700 ,31000 ,13000 ,0 ,13817 
15,BATA,620 ,10300 ,800 ,500 ,10000 ,100 ,13817 
15,BAYU,1670 ,20000 ,100 ,10000 ,0 ,0 ,13817 
15,BBCA,23375 ,12154900 ,4367500 ,2907800 ,6106900 ,6028600 ,13817 
15,BBHI,190 ,2462600 ,17700 ,100300 ,0 ,0 ,13817 
15,BBKP,605 ,4746200 ,246900 ,65600 ,62500 ,244800 ,13817 
15,BBLD,595 ,3600 ,900 ,3300 ,0 ,0 ,13817 
15,BBMD,1600 ,0 ,22200 ,0 ,0 ,0 ,13817 
15,BBNI,9400 ,11838300 ,2672100 ,3628500 ,4724300 ,6774000 ,13817 
15,BBNP,2200 ,0 ,0 ,100 ,0 ,0 ,13817 
15,BBRI,3640 ,150015200 ,61100 ,11806300 ,83499200 ,44062800 ,13817 
15,BBRM,67 ,27397400 ,50000 ,224000 ,0 ,0 ,13817 
15,BBTN,3570 ,11297800 ,6400 ,9800 ,7193700 ,3607900 ,13817 
15,BBYB,360 ,3202800 ,3300 ,12200 ,0 ,0 ,13817 
15,BCAP,1540 ,0 ,8000 ,0 ,0 ,0 ,13817 
15,BCIC,50 ,0 ,0 ,0 ,0 ,0 ,13817 
15,BCIP,147 ,43062400 ,2000 ,580700 ,0 ,2540000 ,13817 
15,BDMN,6925 ,1390400 ,13200 ,279800 ,908400 ,339600 ,13817 
15,BEKS,50 ,304400 ,173194500 ,0 ,0 ,0 ,13817 
15,BELL,218 ,1255700 ,167200 ,1041400 ,0 ,0 ,13817 
15,BEST,284 ,32711600 ,55500 ,262900 ,207300 ,2348300 ,13817 
15,BFIN,830 ,376100 ,5000 ,3500 ,30700 ,0 ,13817 
15,BGTG,120 ,172074500 ,358200 ,169900 ,4302600 ,2854400 ,13817 
15,BHIT,113 ,5880500 ,1567800 ,238200 ,1391200 ,520900 ,13817 
15,BIKA,312 ,22400 ,6000 ,200 ,0 ,0 ,13817 
15,BIMA,78 ,100900 ,26000 ,2100 ,0 ,0 ,13817 
15,BINA,498 ,13350500 ,56000 ,737900 ,26800 ,210400 ,13817 
15,BIPI,85 ,35303600 ,587200 ,5229100 ,774400 ,306700 ,13817 
15,BIPP,78 ,5300 ,62000 ,104900 ,0 ,0 ,13817 
15,BIRD,2960 ,369300 ,29700 ,1200 ,109600 ,7400 ,13817 
15,BISI,1775 ,204000 ,117700 ,1800 ,1900 ,0 ,13817 
15,BJBR,2140 ,10358100 ,3500 ,400 ,164500 ,216400 ,13817 
15,BJTM,685 ,8654000 ,389800 ,2331800 ,2877100 ,2475900 ,13817 
15,BKDP,84 ,17700 ,300 ,1700 ,0 ,0 ,13817 
15,BKSL,218 ,443717400 ,4980500 ,4158700 ,91261700 ,126913500 ,13817 
15,BKSW,228 ,23200 ,9900 ,6000 ,0 ,0 ,13817 
15,BLTA,196 ,0 ,0 ,0 ,0 ,0 ,13817 
15,BLTZ,9475 ,200 ,100 ,100 ,0 ,0 ,13817 
15,BMAS,326 ,50300 ,3000 ,600 ,0 ,0 ,13817 
15,BMRI,8000 ,33253500 ,1593800 ,2535400 ,15771000 ,15762700 ,13817 
15,BMSR,168 ,23900 ,40800 ,2700 ,0 ,0 ,13817 
15,BMTR,585 ,35357000 ,529700 ,177200 ,32505400 ,30947800 ,13817 
15,BNBA,266 ,1266200 ,35300 ,20000 ,934400 ,108500 ,13817 
15,BNBR,50 ,4200 ,2792434600 ,0 ,0 ,0 ,13817 
15,BNGA,1320 ,689500 ,64000 ,38100 ,32500 ,8400 ,13817 
15,BNII,280 ,96000 ,620000 ,90400 ,0 ,40000 ,13817 
15,BNLI,610 ,2421800 ,376000 ,102000 ,861600 ,51800 ,13817 
15,BOGA,575 ,2123500 ,153600 ,39600 ,0 ,0 ,13817 
15,BOLT,895 ,260200 ,13300 ,38400 ,0 ,0 ,13817 
15,BORN,50 ,0 ,0 ,0 ,0 ,0 ,13817 
15,BOSS,2170 ,5859300 ,10600 ,111900 ,20000 ,20000 ,13817 
15,BPFI,990 ,2100 ,1400 ,1000 ,0 ,0 ,13817 
15,BPII,5950 ,0 ,100 ,1600 ,0 ,0 ,13817 
15,BRAM,7625 ,0 ,5000 ,0 ,0 ,0 ,13817 
15,BRMS,85 ,105499200 ,7800600 ,5690000 ,496600 ,13638200 ,13817 
15,BRNA,1225 ,300 ,800 ,9800 ,0 ,0 ,13817 
15,BRPT,2500 ,25781300 ,1223600 ,501400 ,9629600 ,3421100 ,13817 
15,BSDE,1745 ,26073700 ,254200 ,2391500 ,14784500 ,13817400 ,13817 
